Australia;AU;AUD;6.0771
Bulgaria;BG;BGN;4.9065
Bangladesh;BD;BDT;0.0969
Brazil;BR;BRL;2.2348
Belarus;BY;BYN;3.9891
Canada;CA;CAD;6.2773
Switzerland;CH;CHF;8.3138
China;CN;CNY;1.2288
Czech Republic;CZ;CZK;0.37419
Denmark;DK;DKK;1.2875
European Union;EU;EUR;9.5962
United Kingdom;GB;GBP;10.8463
Hong Kong;HK;HKD;1.0378
Croatia;HR;HRK;1.2935
Hungary;HU;HUF;0.0301
Indonesia;ID;IDR;0.00057132
Israel;IL;ILS;2.2627
India;IN;INR;0.11893
Japan;JP;JPY;0.073611
Korea;KR;KRW;0.007387
Myanmar;MM;MMK;0.005649
Mexico;MX;MXN;0.423
Malaysia;MY;MYR;2.0145
New Zealand;NZ;NZD;5.6261
Norway;NO;NOK;1
Philippines;PH;PHP;0.15434
Pakistan;PK;PKR;0.0671
Poland;PL;PLN;2.2525
Romania;RO;RON;2.0618
Russian Federation;RU;RUB;0.12981
Sweden;SE;SEK;0.9359
Singapore;SG;SGD;6.0263
Thailand;TH;THB;0.25147
Turkey;TR;TRY;1.7204
Taiwan;TW;TWD;0.26962
United States;US;USD;8.1338
South Africa;ZA;ZAR;0.616
